pH,moisture,humidity,temperature,crop
7.2,0.43,0.58,0.65,cauliflower
6.76,0.46,0.61,0.65,cauliflower
7.12,0.58,0.6,0.64,cauliflower
7.28,0.52,0.69,0.62,cauliflower
5.97,0.56,0.65,0.62,cauliflower
6.04,0.46,0.5,0.64,cauliflower
5.54,0.41,0.58,0.65,cauliflower
6.79,0.42,0.66,0.64,cauliflower
5.62,0.45,0.6,0.61,cauliflower
5.93,0.41,0.56,0.63,cauliflower
5.8,0.5,0.63,0.62,cauliflower
6.87,0.55,0.55,0.64,cauliflower
6.13,0.45,0.56,0.63,cauliflower
7.11,0.56,0.6,0.62,cauliflower
7.48,0.46,0.68,0.6,cauliflower
5.89,0.59,0.55,0.62,cauliflower
7.06,0.58,0.54,0.6,cauliflower
6.8,0.44,0.63,0.64,cauliflower
6.5,0.52,0.58,0.61,cauliflower
6.22,0.47,0.64,0.64,cauliflower
6.09,0.55,0.52,0.64,cauliflower
6.28,0.43,0.53,0.62,cauliflower
6.43,0.41,0.59,0.65,cauliflower
6.65,0.59,0.66,0.64,cauliflower
7.07,0.57,0.51,0.61,cauliflower
7.08,0.51,0.62,0.61,cauliflower
5.93,0.54,0.54,0.65,cauliflower
6.78,0.53,0.57,0.6,cauliflower
6.54,0.53,0.62,0.6,cauliflower
5.68,0.59,0.59,0.63,cauliflower
7.06,0.54,0.67,0.65,cauliflower
6.36,0.43,0.58,0.62,cauliflower
5.72,0.43,0.63,0.62,cauliflower
7.3,0.53,0.65,0.65,cauliflower
5.74,0.44,0.55,0.64,cauliflower
6.66,0.51,0.65,0.63,cauliflower
7.16,0.4,0.57,0.61,cauliflower
5.63,0.49,0.53,0.64,cauliflower
6.07,0.4,0.59,0.63,cauliflower
5.72,0.53,0.69,0.61,cauliflower
6.79,0.48,0.61,0.63,cauliflower
7.18,0.58,0.55,0.62,cauliflower
6.95,0.48,0.66,0.61,cauliflower
6.64,0.49,0.52,0.63,cauliflower
7.08,0.57,0.67,0.6,cauliflower
7.42,0.48,0.5,0.64,cauliflower
7.43,0.45,0.67,0.62,cauliflower
7.37,0.53,0.55,0.62,cauliflower
6.43,0.59,0.56,0.6,cauliflower
6.15,0.53,0.53,0.61,cauliflower
5.72,0.59,0.54,0.62,cauliflower
6.78,0.55,0.66,0.64,cauliflower
7.32,0.41,0.54,0.64,cauliflower
5.59,0.42,0.65,0.6,cauliflower
5.83,0.55,0.67,0.63,cauliflower
6.87,0.45,0.57,0.61,cauliflower
6.09,0.58,0.52,0.61,cauliflower
5.66,0.46,0.61,0.62,cauliflower
6.2,0.58,0.69,0.63,cauliflower
5.89,0.58,0.65,0.64,cauliflower
6.29,0.48,0.7,0.63,cauliflower
7.47,0.49,0.62,0.65,cauliflower
6.35,0.46,0.7,0.62,cauliflower
7.23,0.56,0.64,0.65,cauliflower
6.57,0.57,0.51,0.61,cauliflower
6.68,0.44,0.57,0.61,cauliflower
5.65,0.46,0.67,0.64,cauliflower
7.25,0.59,0.68,0.63,cauliflower
6.66,0.45,0.52,0.64,cauliflower
6.81,0.51,0.55,0.62,cauliflower
5.9,0.48,0.56,0.64,cauliflower
6.27,0.47,0.53,0.6,cauliflower
5.92,0.58,0.54,0.61,cauliflower
6.43,0.45,0.63,0.63,cauliflower
6.85,0.5,0.7,0.61,cauliflower
6.36,0.46,0.62,0.64,cauliflower
6.07,0.52,0.54,0.63,cauliflower
6.21,0.49,0.52,0.65,cauliflower
6.38,0.54,0.51,0.64,cauliflower
5.79,0.48,0.68,0.64,cauliflower
6.79,0.46,0.55,0.61,cauliflower
7.5,0.4,0.6,0.62,cauliflower
5.82,0.48,0.52,0.61,cauliflower
6.77,0.55,0.68,0.63,cauliflower
5.97,0.56,0.55,0.63,cauliflower
5.89,0.52,0.65,0.63,cauliflower
5.71,0.44,0.69,0.64,cauliflower
7.28,0.42,0.56,0.62,cauliflower
6.11,0.56,0.61,0.62,cauliflower
6.44,0.59,0.63,0.62,cauliflower
6.03,0.53,0.65,0.61,cauliflower
6.76,0.41,0.58,0.61,cauliflower
6.88,0.51,0.63,0.61,cauliflower
7.19,0.57,0.62,0.62,cauliflower
7.34,0.57,0.52,0.64,cauliflower
7.39,0.54,0.57,0.61,cauliflower
7.12,0.45,0.53,0.62,cauliflower
6.27,0.45,0.5,0.61,cauliflower
6.4,0.41,0.7,0.65,cauliflower
5.56,0.56,0.64,0.65,cauliflower
5.71,0.48,0.56,0.62,cauliflower
6.11,0.48,0.67,0.61,cauliflower
6.27,0.4,0.59,0.61,cauliflower
6.0,0.56,0.57,0.62,cauliflower
6.62,0.5,0.51,0.6,cauliflower
5.65,0.43,0.5,0.61,cauliflower
7.15,0.46,0.7,0.62,cauliflower
7.02,0.58,0.65,0.62,cauliflower
5.51,0.58,0.66,0.62,cauliflower
5.99,0.52,0.65,0.62,cauliflower
6.59,0.5,0.58,0.65,cauliflower
6.09,0.42,0.56,0.64,cauliflower
7.25,0.55,0.5,0.64,cauliflower
5.82,0.47,0.62,0.64,cauliflower
6.92,0.47,0.64,0.61,cauliflower
5.51,0.48,0.54,0.61,cauliflower
7.22,0.41,0.51,0.6,cauliflower
6.71,0.55,0.61,0.64,cauliflower
6.24,0.59,0.64,0.63,cauliflower
5.64,0.53,0.58,0.61,cauliflower
7.08,0.59,0.57,0.62,cauliflower
6.96,0.58,0.66,0.61,cauliflower
5.7,0.41,0.63,0.63,cauliflower
6.06,0.58,0.62,0.63,cauliflower
6.57,0.47,0.57,0.6,cauliflower
6.22,0.5,0.58,0.61,cauliflower
7.45,0.58,0.63,0.64,cauliflower
5.63,0.55,0.6,0.64,cauliflower
7.21,0.58,0.53,0.64,cauliflower
6.14,0.43,0.58,0.62,cauliflower
5.88,0.48,0.68,0.61,cauliflower
7.34,0.47,0.68,0.62,cauliflower
6.6,0.49,0.66,0.63,cauliflower
6.24,0.47,0.64,0.61,cauliflower
7.49,0.52,0.67,0.63,cauliflower
6.01,0.59,0.6,0.62,cauliflower
6.4,0.49,0.61,0.61,cauliflower
7.01,0.41,0.64,0.62,cauliflower
7.5,0.58,0.54,0.6,cauliflower
7.41,0.59,0.52,0.65,cauliflower
5.72,0.57,0.69,0.63,cauliflower
7.07,0.56,0.66,0.62,cauliflower
6.62,0.55,0.53,0.62,cauliflower
6.21,0.45,0.52,0.63,cauliflower
6.83,0.46,0.65,0.63,cauliflower
6.69,0.43,0.54,0.63,cauliflower
5.99,0.53,0.56,0.62,cauliflower
6.29,0.46,0.67,0.61,cauliflower
6.15,0.59,0.54,0.64,cauliflower
7.19,0.55,0.57,0.64,cauliflower
6.23,0.41,0.65,0.63,cauliflower
7.47,0.43,0.57,0.62,cauliflower
5.81,0.6,0.52,0.62,cauliflower
6.66,0.52,0.56,0.61,cauliflower
7.31,0.57,0.69,0.61,cauliflower
7.4,0.53,0.55,0.62,cauliflower
6.75,0.43,0.51,0.61,cauliflower
6.64,0.59,0.69,0.6,cauliflower
5.84,0.45,0.63,0.61,cauliflower
5.52,0.48,0.68,0.64,cauliflower
6.83,0.56,0.68,0.64,cauliflower
6.04,0.52,0.68,0.63,cauliflower
7.39,0.5,0.57,0.65,cauliflower
6.16,0.41,0.66,0.65,cauliflower
6.42,0.46,0.54,0.61,cauliflower
7.02,0.56,0.64,0.6,cauliflower
5.6,0.44,0.67,0.61,cauliflower
7.01,0.46,0.56,0.63,cauliflower
7.29,0.58,0.54,0.65,cauliflower
5.59,0.55,0.59,0.65,cauliflower
6.23,0.56,0.69,0.63,cauliflower
6.19,0.45,0.57,0.62,cauliflower
5.56,0.47,0.52,0.6,cauliflower
5.83,0.5,0.61,0.63,cauliflower
7.42,0.48,0.58,0.64,cauliflower
7.43,0.45,0.63,0.63,cauliflower
5.8,0.53,0.69,0.64,cauliflower
6.66,0.52,0.65,0.63,cauliflower
6.86,0.6,0.67,0.61,cauliflower
6.87,0.41,0.56,0.63,cauliflower
6.8,0.53,0.62,0.62,cauliflower
7.27,0.56,0.65,0.64,cauliflower
6.34,0.43,0.58,0.63,cauliflower
5.9,0.54,0.6,0.6,cauliflower
6.65,0.47,0.55,0.61,cauliflower
7.2,0.54,0.68,0.6,cauliflower
6.37,0.54,0.63,0.64,cauliflower
6.07,0.6,0.61,0.62,cauliflower
6.83,0.51,0.69,0.64,cauliflower
6.33,0.54,0.53,0.64,cauliflower
7.15,0.56,0.68,0.61,cauliflower
7.2,0.59,0.6,0.6,cauliflower
6.94,0.46,0.5,0.64,cauliflower
7.3,0.54,0.5,0.61,cauliflower
7.43,0.41,0.6,0.61,cauliflower
6.66,0.53,0.52,0.65,cauliflower
5.58,0.43,0.55,0.65,cauliflower
7.21,0.45,0.68,0.64,cauliflower
6.79,0.46,0.62,0.64,cauliflower
7.45,0.55,0.55,0.63,cauliflower
6.76,0.5,0.53,0.62,cauliflower
5.85,0.6,0.61,0.62,cauliflower
6.49,0.42,0.62,0.62,cauliflower
6.05,0.42,0.63,0.64,cauliflower
6.0,0.5,0.62,0.62,cauliflower
7.47,0.46,0.68,0.64,cauliflower
6.58,0.59,0.63,0.63,cauliflower
7.41,0.41,0.64,0.64,cauliflower
5.56,0.57,0.54,0.6,cauliflower
7.14,0.54,0.66,0.63,cauliflower
6.66,0.51,0.55,0.64,cauliflower
6.39,0.47,0.53,0.61,cauliflower
7.28,0.54,0.51,0.6,cauliflower
6.01,0.49,0.57,0.64,cauliflower
5.67,0.53,0.59,0.6,cauliflower
5.86,0.44,0.61,0.63,cauliflower
6.62,0.5,0.61,0.61,cauliflower
6.83,0.51,0.58,0.61,cauliflower
7.49,0.42,0.55,0.62,cauliflower
6.1,0.46,0.69,0.64,cauliflower
5.53,0.55,0.51,0.63,cauliflower
6.98,0.56,0.68,0.63,cauliflower
5.57,0.41,0.7,0.6,cauliflower
6.59,0.6,0.55,0.64,cauliflower
7.17,0.46,0.65,0.63,cauliflower
6.41,0.48,0.68,0.61,cauliflower
6.97,0.53,0.57,0.64,cauliflower
6.9,0.41,0.52,0.63,cauliflower
6.15,0.52,0.56,0.62,cauliflower
6.37,0.53,0.63,0.63,cauliflower
6.5,0.57,0.57,0.64,cauliflower
5.55,0.59,0.68,0.65,cauliflower
7.12,0.52,0.58,0.61,cauliflower
6.56,0.56,0.56,0.62,cauliflower
7.12,0.56,0.63,0.61,cauliflower
7.37,0.6,0.5,0.62,cauliflower
6.71,0.45,0.54,0.64,cauliflower
6.79,0.46,0.57,0.64,cauliflower
6.99,0.56,0.58,0.61,cauliflower
5.75,0.57,0.62,0.63,cauliflower
6.95,0.49,0.65,0.62,cauliflower
5.96,0.54,0.6,0.61,cauliflower
6.86,0.51,0.57,0.61,cauliflower
6.56,0.55,0.58,0.62,cauliflower
5.74,0.57,0.61,0.64,cauliflower
5.72,0.55,0.66,0.6,cauliflower
5.63,0.47,0.67,0.62,cauliflower
5.69,0.53,0.68,0.61,cauliflower
7.36,0.57,0.66,0.64,cauliflower
7.08,0.56,0.65,0.6,cauliflower
6.08,0.47,0.53,0.63,cauliflower
5.8,0.58,0.58,0.64,cauliflower
5.51,0.58,0.63,0.64,cauliflower
6.73,0.58,0.64,0.65,cauliflower
6.01,0.42,0.56,0.63,cauliflower
6.78,0.58,0.57,0.64,cauliflower
5.58,0.46,0.61,0.64,cauliflower
7.19,0.53,0.61,0.64,cauliflower
7.48,0.46,0.54,0.61,cauliflower
5.77,0.47,0.56,0.64,cauliflower
5.98,0.4,0.56,0.6,cauliflower
7.22,0.43,0.51,0.63,cauliflower
5.58,0.42,0.55,0.64,cauliflower
7.21,0.59,0.62,0.62,cauliflower
6.31,0.44,0.52,0.61,cauliflower
6.14,0.4,0.64,0.63,cauliflower
7.5,0.52,0.58,0.62,cauliflower
5.65,0.4,0.59,0.61,cauliflower
5.69,0.48,0.56,0.64,cauliflower
6.25,0.53,0.64,0.62,cauliflower
6.26,0.59,0.62,0.6,cauliflower
5.68,0.42,0.58,0.61,cauliflower
6.55,0.58,0.66,0.61,cauliflower
5.56,0.49,0.58,0.63,cauliflower
6.53,0.56,0.63,0.62,cauliflower
6.56,0.44,0.57,0.62,cauliflower
7.06,0.53,0.58,0.6,cauliflower
6.97,0.43,0.57,0.62,cauliflower
7.23,0.48,0.52,0.63,cauliflower
5.99,0.41,0.59,0.64,cauliflower
5.75,0.42,0.67,0.6,cauliflower
6.33,0.47,0.54,0.65,cauliflower
7.29,0.55,0.66,0.64,cauliflower
7.22,0.56,0.56,0.63,cauliflower
5.71,0.47,0.55,0.63,cauliflower
6.32,0.58,0.67,0.61,cauliflower
6.42,0.41,0.67,0.65,cauliflower
7.18,0.47,0.54,0.64,cauliflower
6.81,0.49,0.56,0.62,cauliflower
7.45,0.41,0.61,0.61,cauliflower
6.85,0.52,0.59,0.63,cauliflower
6.27,0.59,0.55,0.64,cauliflower
5.59,0.56,0.61,0.65,cauliflower
7.25,0.48,0.51,0.63,cauliflower
6.5,0.5,0.57,0.64,cauliflower
6.14,0.49,0.56,0.61,cauliflower
7.34,0.48,0.67,0.64,cauliflower
6.55,0.58,0.58,0.64,cauliflower
6.2,0.48,0.55,0.61,cauliflower
7.16,0.43,0.52,0.62,cauliflower
7.09,0.6,0.57,0.61,cauliflower
6.19,0.43,0.51,0.63,cauliflower
5.24,0.53,0.74,0.24,potato
5.01,0.59,0.74,0.25,potato
5.2,0.52,0.78,0.21,potato
5.7,0.54,0.77,0.2,potato
5.05,0.6,0.62,0.26,potato
4.5,0.54,0.66,0.22,potato
5.41,0.52,0.64,0.22,potato
5.54,0.55,0.78,0.28,potato
4.76,0.52,0.69,0.26,potato
6.0,0.57,0.62,0.24,potato
5.44,0.59,0.72,0.28,potato
5.79,0.6,0.78,0.28,potato
5.77,0.51,0.74,0.21,potato
4.64,0.55,0.65,0.25,potato
4.86,0.56,0.63,0.23,potato
5.56,0.54,0.79,0.26,potato
5.37,0.6,0.69,0.22,potato
5.17,0.52,0.68,0.25,potato
4.61,0.58,0.67,0.26,potato
4.98,0.53,0.6,0.24,potato
4.55,0.54,0.68,0.24,potato
5.41,0.54,0.73,0.22,potato
5.53,0.52,0.63,0.25,potato
5.87,0.54,0.73,0.29,potato
5.53,0.52,0.67,0.2,potato
4.68,0.57,0.8,0.26,potato
5.65,0.57,0.6,0.24,potato
4.79,0.52,0.61,0.24,potato
5.42,0.57,0.76,0.24,potato
4.62,0.57,0.61,0.24,potato
4.98,0.52,0.77,0.23,potato
5.93,0.6,0.68,0.24,potato
4.59,0.53,0.66,0.23,potato
5.0,0.53,0.61,0.25,potato
5.38,0.57,0.64,0.21,potato
5.49,0.54,0.64,0.26,potato
5.14,0.53,0.79,0.22,potato
5.88,0.54,0.79,0.24,potato
5.87,0.5,0.7,0.24,potato
4.53,0.59,0.77,0.3,potato
5.02,0.53,0.69,0.2,potato
4.63,0.55,0.69,0.23,potato
4.94,0.54,0.7,0.22,potato
5.97,0.5,0.64,0.2,potato
5.32,0.55,0.67,0.3,potato
4.86,0.56,0.74,0.21,potato
5.95,0.55,0.65,0.2,potato
5.41,0.57,0.73,0.22,potato
4.72,0.56,0.8,0.24,potato
4.7,0.52,0.72,0.23,potato
5.53,0.56,0.65,0.22,potato
5.69,0.52,0.73,0.23,potato
4.96,0.57,0.72,0.25,potato
4.96,0.57,0.6,0.29,potato
5.79,0.53,0.65,0.29,potato
5.93,0.52,0.75,0.26,potato
5.51,0.56,0.68,0.24,potato
5.55,0.58,0.6,0.26,potato
5.35,0.58,0.79,0.26,potato
5.52,0.51,0.66,0.25,potato
5.73,0.6,0.66,0.28,potato
4.75,0.54,0.71,0.24,potato
5.69,0.51,0.65,0.22,potato
4.85,0.51,0.72,0.21,potato
4.54,0.52,0.67,0.29,potato
5.25,0.59,0.73,0.27,potato
5.23,0.55,0.64,0.25,potato
4.62,0.58,0.7,0.26,potato
5.38,0.55,0.68,0.23,potato
4.8,0.59,0.77,0.27,potato
4.85,0.58,0.64,0.27,potato
5.12,0.55,0.61,0.23,potato
5.12,0.52,0.75,0.28,potato
5.1,0.53,0.74,0.26,potato
5.57,0.56,0.64,0.25,potato
4.92,0.55,0.71,0.25,potato
4.92,0.56,0.74,0.29,potato
5.18,0.59,0.65,0.23,potato
5.4,0.52,0.72,0.21,potato
4.96,0.55,0.67,0.3,potato
4.74,0.56,0.6,0.21,potato
5.15,0.53,0.65,0.22,potato
4.67,0.54,0.79,0.22,potato
5.84,0.5,0.71,0.24,potato
4.9,0.57,0.74,0.26,potato
5.91,0.52,0.66,0.24,potato
5.02,0.6,0.65,0.23,potato
4.75,0.59,0.74,0.23,potato
4.89,0.5,0.63,0.21,potato
5.91,0.56,0.6,0.28,potato
4.92,0.58,0.74,0.25,potato
5.47,0.51,0.62,0.29,potato
4.78,0.6,0.61,0.27,potato
5.75,0.55,0.61,0.25,potato
5.62,0.51,0.7,0.22,potato
5.61,0.51,0.79,0.29,potato
5.22,0.51,0.65,0.27,potato
4.9,0.54,0.69,0.25,potato
5.52,0.55,0.75,0.27,potato
5.69,0.53,0.77,0.24,potato
5.81,0.57,0.75,0.26,potato
5.23,0.53,0.77,0.25,potato
4.51,0.5,0.63,0.24,potato
5.49,0.54,0.62,0.21,potato
5.23,0.56,0.66,0.26,potato
5.9,0.52,0.76,0.29,potato
5.79,0.59,0.73,0.23,potato
5.51,0.59,0.72,0.3,potato
5.45,0.59,0.63,0.26,potato
4.95,0.59,0.64,0.29,potato
5.84,0.55,0.8,0.27,potato
5.21,0.57,0.79,0.27,potato
4.52,0.5,0.76,0.27,potato
5.18,0.52,0.61,0.25,potato
5.61,0.53,0.68,0.28,potato
5.7,0.6,0.78,0.29,potato
5.03,0.57,0.74,0.26,potato
5.77,0.58,0.76,0.28,potato
5.13,0.54,0.68,0.29,potato
5.1,0.55,0.78,0.28,potato
5.58,0.52,0.64,0.3,potato
5.05,0.56,0.69,0.24,potato
5.6,0.51,0.75,0.28,potato
4.78,0.59,0.79,0.26,potato
5.17,0.51,0.63,0.28,potato
5.25,0.51,0.71,0.29,potato
5.02,0.6,0.73,0.23,potato
5.21,0.59,0.76,0.22,potato
5.84,0.54,0.66,0.27,potato
5.02,0.58,0.68,0.26,potato
5.42,0.56,0.73,0.28,potato
4.98,0.59,0.61,0.27,potato
5.28,0.57,0.7,0.22,potato
5.1,0.52,0.71,0.3,potato
4.63,0.57,0.64,0.22,potato
5.29,0.5,0.64,0.25,potato
4.93,0.59,0.72,0.29,potato
5.66,0.53,0.61,0.2,potato
5.47,0.53,0.69,0.29,potato
5.57,0.58,0.75,0.21,potato
4.71,0.56,0.72,0.23,potato
5.68,0.6,0.61,0.23,potato
4.72,0.57,0.78,0.27,potato
5.22,0.59,0.76,0.21,potato
5.18,0.59,0.69,0.2,potato
5.03,0.56,0.61,0.21,potato
5.52,0.56,0.65,0.27,potato
5.04,0.51,0.65,0.28,potato
5.67,0.57,0.7,0.25,potato
4.82,0.58,0.75,0.22,potato
4.75,0.55,0.68,0.22,potato
5.8,0.56,0.77,0.22,potato
4.97,0.59,0.61,0.3,potato
4.64,0.51,0.69,0.24,potato
5.59,0.55,0.66,0.27,potato
5.62,0.58,0.76,0.29,potato
5.06,0.52,0.74,0.25,potato
5.18,0.52,0.66,0.3,potato
4.81,0.58,0.79,0.24,potato
4.91,0.55,0.63,0.28,potato
5.52,0.55,0.61,0.21,potato
5.99,0.59,0.71,0.29,potato
5.54,0.56,0.68,0.21,potato
5.34,0.56,0.76,0.29,potato
5.91,0.53,0.7,0.28,potato
5.02,0.57,0.75,0.23,potato
5.71,0.6,0.67,0.29,potato
5.04,0.58,0.66,0.25,potato
4.76,0.52,0.61,0.28,potato
4.77,0.56,0.72,0.25,potato
4.75,0.5,0.61,0.25,potato
5.46,0.59,0.71,0.21,potato
5.39,0.53,0.69,0.28,potato
5.55,0.53,0.73,0.23,potato
5.23,0.52,0.68,0.21,potato
4.87,0.52,0.78,0.22,potato
4.95,0.52,0.72,0.23,potato
4.56,0.51,0.67,0.28,potato
4.59,0.54,0.63,0.2,potato
5.88,0.59,0.74,0.23,potato
5.89,0.56,0.67,0.26,potato
5.45,0.57,0.66,0.22,potato
5.2,0.55,0.8,0.23,potato
5.39,0.5,0.73,0.27,potato
4.81,0.53,0.71,0.27,potato
5.66,0.53,0.67,0.2,potato
5.41,0.52,0.79,0.28,potato
4.91,0.58,0.8,0.27,potato
5.0,0.51,0.74,0.26,potato
4.99,0.51,0.69,0.29,potato
4.74,0.58,0.71,0.25,potato
5.84,0.54,0.73,0.26,potato
5.71,0.54,0.64,0.24,potato
5.15,0.58,0.68,0.2,potato
5.28,0.57,0.73,0.28,potato
4.86,0.59,0.69,0.21,potato
5.77,0.56,0.63,0.24,potato
5.07,0.52,0.71,0.22,potato
5.86,0.56,0.77,0.29,potato
5.64,0.58,0.65,0.22,potato
4.53,0.54,0.66,0.24,potato
4.56,0.54,0.72,0.28,potato
5.7,0.51,0.73,0.23,potato
4.6,0.5,0.74,0.24,potato
4.83,0.58,0.65,0.21,potato
5.38,0.55,0.64,0.27,potato
5.25,0.53,0.73,0.22,potato
5.75,0.56,0.61,0.26,potato
5.81,0.58,0.75,0.22,potato
5.99,0.58,0.61,0.25,potato
4.76,0.54,0.74,0.24,potato
5.73,0.51,0.62,0.24,potato
5.98,0.54,0.69,0.28,potato
5.39,0.56,0.63,0.2,potato
5.49,0.5,0.66,0.29,potato
5.61,0.56,0.62,0.28,potato
5.33,0.58,0.64,0.28,potato
5.49,0.57,0.69,0.26,potato
5.95,0.54,0.69,0.23,potato
5.15,0.53,0.7,0.28,potato
5.19,0.52,0.76,0.27,potato
5.72,0.55,0.76,0.22,potato
4.63,0.57,0.7,0.3,potato
4.74,0.57,0.76,0.2,potato
5.89,0.56,0.69,0.27,potato
4.72,0.52,0.65,0.2,potato
4.78,0.6,0.61,0.28,potato
5.16,0.58,0.77,0.3,potato
5.42,0.56,0.62,0.21,potato
4.91,0.52,0.63,0.28,potato
5.65,0.53,0.68,0.25,potato
4.74,0.56,0.63,0.21,potato
5.06,0.5,0.72,0.23,potato
5.9,0.54,0.67,0.21,potato
5.78,0.5,0.63,0.21,potato
4.72,0.51,0.72,0.23,potato
5.56,0.51,0.6,0.29,potato
5.89,0.59,0.6,0.27,potato
5.54,0.52,0.71,0.24,potato
5.2,0.57,0.73,0.21,potato
4.85,0.52,0.61,0.27,potato
4.8,0.54,0.77,0.29,potato
4.61,0.54,0.8,0.27,potato
5.97,0.55,0.66,0.24,potato
5.84,0.54,0.68,0.29,potato
4.6,0.52,0.63,0.23,potato
5.79,0.59,0.76,0.25,potato
5.89,0.59,0.63,0.23,potato
5.91,0.52,0.73,0.24,potato
5.64,0.53,0.74,0.28,potato
5.64,0.6,0.71,0.23,potato
5.16,0.51,0.61,0.27,potato
5.95,0.52,0.69,0.24,potato
5.03,0.55,0.7,0.28,potato
4.89,0.57,0.63,0.24,potato
4.83,0.58,0.65,0.25,potato
4.59,0.5,0.62,0.24,potato
5.44,0.5,0.66,0.21,potato
4.8,0.6,0.61,0.28,potato
5.76,0.54,0.75,0.27,potato
5.57,0.56,0.62,0.24,potato
5.85,0.55,0.65,0.29,potato
4.69,0.54,0.76,0.28,potato
5.23,0.59,0.67,0.27,potato
5.87,0.53,0.76,0.22,potato
4.99,0.55,0.65,0.2,potato
5.67,0.52,0.77,0.23,potato
5.95,0.59,0.73,0.22,potato
5.95,0.55,0.66,0.21,potato
5.19,0.5,0.64,0.28,potato
5.13,0.57,0.62,0.23,potato
5.64,0.53,0.61,0.22,potato
4.5,0.52,0.67,0.23,potato
4.5,0.54,0.76,0.23,potato
5.44,0.56,0.67,0.21,potato
4.57,0.54,0.75,0.3,potato
5.97,0.5,0.75,0.23,potato
5.8,0.54,0.8,0.25,potato
5.74,0.52,0.63,0.27,potato
5.5,0.56,0.69,0.24,potato
5.42,0.56,0.74,0.29,potato
5.92,0.52,0.62,0.24,potato
4.68,0.5,0.79,0.27,potato
5.17,0.58,0.66,0.28,potato
5.08,0.52,0.71,0.27,potato
5.54,0.6,0.61,0.29,potato
4.63,0.53,0.61,0.22,potato
5.54,0.59,0.74,0.24,potato
5.21,0.55,0.62,0.21,potato
4.55,0.56,0.79,0.29,potato
5.16,0.6,0.68,0.2,potato
5.39,0.53,0.75,0.22,potato
4.97,0.54,0.68,0.21,potato
5.79,0.52,0.79,0.23,potato
4.84,0.56,0.75,0.23,potato
5.95,0.56,0.7,0.22,potato
5.26,0.51,0.75,0.28,potato
5.18,0.51,0.71,0.27,potato
5.96,0.54,0.8,0.27,potato
4.77,0.5,0.76,0.24,potato
5.32,0.53,0.61,0.2,potato
5.75,0.53,0.78,0.21,potato
5.12,0.56,0.67,0.23,potato
5.45,0.56,0.73,0.21,potato
4.87,0.54,0.66,0.29,potato
5.0,0.51,0.67,0.22,potato
4.71,0.53,0.66,0.3,potato
4.95,0.57,0.71,0.2,potato
5.72,0.56,0.74,0.25,potato
5.13,0.56,0.76,0.29,potato
5.56,0.57,0.64,0.29,potato
5.65,0.51,0.72,0.23,potato
4.76,0.58,0.67,0.2,potato
5.86,0.52,0.65,0.29,potato
5.2,0.51,0.61,0.21,potato
5.07,0.57,0.66,0.23,potato
5.89,0.54,0.61,0.27,potato
5.5,0.55,0.6,0.22,potato
5.45,0.54,0.78,0.25,potato
5.56,0.54,0.78,0.29,potato
5.94,0.58,0.76,0.26,potato
4.96,0.5,0.76,0.27,potato
5.3,0.52,0.74,0.29,potato
5.66,0.59,0.61,0.26,potato
5.4,0.51,0.75,0.21,potato
5.23,0.5,0.75,0.22,potato
5.91,0.57,0.69,0.3,potato
5.25,0.54,0.74,0.26,potato
5.51,0.59,0.61,0.26,potato
5.17,0.52,0.72,0.21,potato
4.5,0.55,0.76,0.25,potato
5.65,0.6,0.73,0.28,potato
5.49,0.54,0.77,0.29,potato
5.75,0.54,0.63,0.29,potato
5.69,0.57,0.8,0.22,potato
5.85,0.54,0.74,0.23,potato
4.62,0.53,0.74,0.29,potato
5.69,0.56,0.71,0.28,potato
5.92,0.57,0.64,0.28,potato
5.39,0.51,0.62,0.28,potato
4.88,0.56,0.66,0.23,potato
4.75,0.57,0.74,0.21,potato
5.53,0.55,0.79,0.27,potato
5.21,0.59,0.75,0.21,potato
5.53,0.51,0.74,0.28,potato
5.99,0.51,0.74,0.29,potato
4.97,0.59,0.71,0.28,potato
4.62,0.53,0.67,0.22,potato
5.14,0.53,0.65,0.23,potato
4.93,0.51,0.77,0.28,potato
5.7,0.54,0.66,0.25,potato
4.77,0.57,0.61,0.23,potato
4.97,0.54,0.76,0.24,potato
5.06,0.59,0.77,0.24,potato
4.68,0.58,0.77,0.23,potato
4.77,0.52,0.68,0.23,potato
4.75,0.58,0.64,0.25,potato
4.99,0.54,0.77,0.23,potato
4.97,0.59,0.68,0.21,potato
5.66,0.57,0.64,0.22,potato
4.52,0.58,0.72,0.26,potato
5.06,0.54,0.76,0.27,potato
5.15,0.53,0.78,0.24,potato
4.68,0.5,0.64,0.27,potato
5.14,0.59,0.7,0.26,potato
5.2,0.56,0.61,0.23,potato
4.85,0.54,0.68,0.26,potato
5.16,0.55,0.68,0.29,potato
4.64,0.56,0.63,0.23,potato
5.38,0.57,0.78,0.29,potato
5.53,0.54,0.67,0.22,potato
5.58,0.51,0.66,0.25,potato
5.84,0.52,0.67,0.25,potato
5.27,0.52,0.62,0.26,potato
4.99,0.54,0.78,0.24,potato
5.98,0.51,0.7,0.28,potato
4.99,0.55,0.66,0.29,potato
5.05,0.53,0.8,0.25,potato
5.99,0.58,0.72,0.24,potato
5.96,0.58,0.66,0.22,potato
5.64,0.57,0.75,0.3,potato
5.67,0.51,0.79,0.24,potato
5.35,0.58,0.71,0.28,potato
5.76,0.57,0.7,0.2,potato
5.97,0.58,0.6,0.25,potato
4.75,0.6,0.73,0.26,potato
